
Overlap Results

Collection(s):	GO
# overlaps shown:	100
# genesets in collections:	10747
# genes in comparison (n):	341
# genes in universe (N):	46395

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
399548	Scn4b	sodium channel, type IV, beta [Source:MGI Symbol;Acc:MGI:2687406]	GOBP_CELL_CELL_SIGNALING									GOBP_REGULATION_OF_TRANSPORT				GOBP_REGULATION_OF_SYSTEM_PROCESS				GOBP_MONOATOMIC_ION_TRANSPORT									GOBP_REGULATION_OF_MEMBRANE_POTENTIAL			GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOBP_CIRCULATORY_SYSTEM_PROCESS												GOBP_TRANSMEMBRANE_TRANSPORT								GOBP_MONOATOMIC_CATION_TRANSPORT				GOBP_MUSCLE_SYSTEM_PROCESS		GOBP_METAL_ION_TRANSPORT									GOBP_POSITIVE_REGULATION_OF_TRANSPORT						GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT								GOBP_MUSCLE_CONTRACTION			GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX	GOBP_REGULATION_OF_BLOOD_CIRCULATION	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT							
15402	Hoxa5	homeobox A5 [Source:MGI Symbol;Acc:MGI:96177]	GOBP_CELL_CELL_SIGNALING												GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS								GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS							GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT					GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION					GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY				GOBP_TUBE_DEVELOPMENT																	GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS						GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS								GOBP_SKELETAL_SYSTEM_DEVELOPMENT										GOBP_GROWTH	GOBP_TUBE_MORPHOGENESIS				
19283	Ptprz1	protein tyrosine phosphatase receptor type Z, polypeptide 1 [Source:MGI Symbol;Acc:MGI:97816]		GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR	GOCC_SOMATODENDRITIC_COMPARTMENT	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY			GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOCC_DENDRITIC_TREE		GOBP_GENERATION_OF_NEURONS		GOCC_SYNAPTIC_MEMBRANE					GOBP_COGNITION	GOCC_PLASMA_MEMBRANE_REGION					GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION					GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_CELL_MIGRATION			GOCC_POSTSYNAPTIC_MEMBRANE			GOBP_CELL_MOTILITY														GOCC_DISTAL_AXON					GOBP_LOCOMOTION		GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		GOCC_POSTSYNAPSE	GOBP_NEURON_DEVELOPMENT						GOBP_REGULATION_OF_LOCOMOTION		GOBP_CELL_ADHESION																	
11486	Ada	adenosine deaminase [Source:MGI Symbol;Acc:MGI:87916]		GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR	GOCC_SOMATODENDRITIC_COMPARTMENT	GOCC_EXTRACELLULAR_SPACE		GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOBP_REGULATION_OF_SYSTEM_PROCESS		GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOCC_DENDRITIC_TREE			GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION		GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS								GOBP_CIRCULATORY_SYSTEM_PROCESS	GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_SECRETION				GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_CELL_MIGRATION		GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION			GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_BEHAVIOR	GOBP_RESPONSE_TO_NITROGEN_COMPOUND		GOBP_TUBE_DEVELOPMENT			GOBP_MUSCLE_SYSTEM_PROCESS			GOCC_CELL_SURFACE			GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION				GOBP_LOCOMOTION			GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION						GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS				GOBP_REGULATION_OF_LOCOMOTION		GOBP_CELL_ADHESION					GOBP_MUSCLE_CONTRACTION				GOBP_REGULATION_OF_BLOOD_CIRCULATION								
11998	Avp	arginine vasopressin [Source:MGI Symbol;Acc:MGI:88121]		GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR	GOCC_SOMATODENDRITIC_COMPARTMENT	GOCC_EXTRACELLULAR_SPACE		GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT		GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOBP_REGULATION_OF_SYSTEM_PROCESS			GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GOCC_DENDRITIC_TREE					GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY						GOBP_CIRCULATORY_SYSTEM_PROCESS	GOBP_SECRETION					GOBP_REGULATION_OF_SECRETION	GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING		GOBP_EXPORT_FROM_CELL						GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY													GOMF_HORMONE_ACTIVITY		GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION	GOBP_REGULATION_OF_TUBE_SIZE	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_TRANSPORT		GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION							GOCC_SECRETORY_VESICLE	GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM					GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS			GOBP_AMINE_TRANSPORT					GOBP_REGULATION_OF_BLOOD_CIRCULATION		GOBP_AMINO_ACID_TRANSPORT	GOBP_GROWTH		GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			GOBP_RESPONSE_TO_LIPID
13162	Slc6a3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3 [Source:MGI Symbol;Acc:MGI:94862]		GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR	GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_AXON	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY			GOMF_SIGNALING_RECEPTOR_BINDING			GOCC_PRESYNAPSE	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOBP_MONOATOMIC_ION_TRANSPORT					GOCC_SYNAPTIC_MEMBRANE					GOBP_COGNITION	GOCC_PLASMA_MEMBRANE_REGION	GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT			GOBP_SECRETION	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT						GOCC_NEURON_PROJECTION_TERMINUS				GOBP_TRANSMEMBRANE_TRANSPORT		GOCC_POSTSYNAPTIC_MEMBRANE		GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS			GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_MONOATOMIC_CATION_TRANSPORT					GOBP_HEAD_DEVELOPMENT	GOBP_METAL_ION_TRANSPORT	GOCC_CELL_SURFACE				GOCC_DISTAL_AXON										GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOCC_POSTSYNAPSE						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT						GOCC_PRESYNAPTIC_MEMBRANE								GOBP_AMINO_ACID_TRANSPORT	GOBP_GROWTH					
18386	Oprd1	opioid receptor, delta 1 [Source:MGI Symbol;Acc:MGI:97438]		GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR	GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_AXON			GOBP_REGULATION_OF_TRANSPORT		GOMF_SIGNALING_RECEPTOR_BINDING			GOCC_PRESYNAPSE		GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_MONOATOMIC_ION_TRANSPORT	GOCC_DENDRITIC_TREE	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY			GOCC_SYNAPTIC_MEMBRANE		GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS		GOBP_REGULATION_OF_MEMBRANE_POTENTIAL		GOCC_PLASMA_MEMBRANE_REGION											GOCC_NEURON_PROJECTION_TERMINUS						GOCC_POSTSYNAPTIC_MEMBRANE						GOBP_MONOATOMIC_CATION_TRANSPORT		GOMF_PEPTIDE_RECEPTOR_ACTIVITY				GOBP_METAL_ION_TRANSPORT			GOBP_FEEDING_BEHAVIOR	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOCC_DISTAL_AXON											GOCC_POSTSYNAPSE				GOCC_SECRETORY_VESICLE								GOCC_PRESYNAPTIC_MEMBRANE				GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS			GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT							
18217	Ntsr2	neurotensin receptor 2 [Source:MGI Symbol;Acc:MGI:108018]		GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR	GOCC_SOMATODENDRITIC_COMPARTMENT				GOCC_CELL_BODY										GOCC_DENDRITIC_TREE	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY		GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION					GOBP_REGULATION_OF_MEMBRANE_POTENTIAL								GOBP_INTRACELLULAR_SIGNALING_CASSETTE										GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION									GOMF_PEPTIDE_RECEPTOR_ACTIVITY					GOCC_CELL_SURFACE																																									
93688	Klhl1	kelch-like 1 [Source:MGI Symbol;Acc:MGI:2136335]		GOCC_NEURON_PROJECTION		GOBP_BEHAVIOR	GOCC_SOMATODENDRITIC_COMPARTMENT				GOCC_CELL_BODY										GOCC_DENDRITIC_TREE		GOBP_GENERATION_OF_NEURONS													GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT																							GOBP_HEAD_DEVELOPMENT																		GOBP_NEURON_DEVELOPMENT																									
12759	Clu	clusterin [Source:MGI Symbol;Acc:MGI:88423]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT		GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOCC_DENDRITIC_TREE		GOBP_GENERATION_OF_NEURONS	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION				GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY								GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION								GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION			GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS											GOCC_CELL_SURFACE				GOCC_DISTAL_AXON	GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION		GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_TRANSPORT				GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_NEURON_DEVELOPMENT			GOCC_SECRETORY_VESICLE																						
20346	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A [Source:MGI Symbol;Acc:MGI:107558]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS				GOMF_SIGNALING_RECEPTOR_BINDING		GOBP_REGULATION_OF_SYSTEM_PROCESS		GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOCC_DENDRITIC_TREE		GOBP_GENERATION_OF_NEURONS			GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY						GOBP_CIRCULATORY_SYSTEM_PROCESS		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_REGULATION_OF_CELL_DIFFERENTIATION						GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_CELL_MIGRATION					GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_CELL_MOTILITY								GOBP_HEAD_DEVELOPMENT									GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY		GOBP_LOCOMOTION		GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS					GOBP_NEURON_DEVELOPMENT	GOBP_ANIMAL_ORGAN_MORPHOGENESIS					GOBP_REGULATION_OF_LOCOMOTION											GOBP_REGULATION_OF_BLOOD_CIRCULATION			GOBP_GROWTH		GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
14585	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1 [Source:MGI Symbol;Acc:MGI:1100842]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON		GOCC_CELL_BODY			GOMF_SIGNALING_RECEPTOR_BINDING									GOBP_GENERATION_OF_NEURONS				GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS																		GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY										GOCC_CELL_SURFACE																GOBP_NEURON_DEVELOPMENT															GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS										
12628	Cfh	complement component factor h [Source:MGI Symbol;Acc:MGI:88385]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON		GOCC_CELL_BODY												GOBP_GENERATION_OF_NEURONS										GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT																						GOBP_TUBE_DEVELOPMENT						GOCC_CELL_SURFACE																GOBP_NEURON_DEVELOPMENT	GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS						GOBP_CELL_ADHESION		GOBP_SKELETAL_SYSTEM_DEVELOPMENT											GOBP_TUBE_MORPHOGENESIS				GOBP_RESPONSE_TO_LIPID
18948	Pnmt	phenylethanolamine-N-methyltransferase [Source:MGI Symbol;Acc:MGI:97724]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_AXON		GOCC_CELL_BODY						GOCC_PRESYNAPSE				GOCC_DENDRITIC_TREE																					GOCC_NEURON_PROJECTION_TERMINUS																							GOCC_DISTAL_AXON																																					
14417	Gad2	glutamic acid decarboxylase 2 [Source:MGI Symbol;Acc:MGI:95634]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_AXON		GOCC_CELL_BODY						GOCC_PRESYNAPSE								GOCC_SYNAPTIC_MEMBRANE						GOCC_PLASMA_MEMBRANE_REGION																																																	GOCC_SECRETORY_VESICLE								GOCC_PRESYNAPTIC_MEMBRANE													GOCC_GABA_ERGIC_SYNAPSE	
12311	Calcr	calcitonin receptor [Source:MGI Symbol;Acc:MGI:101950]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_AXON		GOCC_CELL_BODY								GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY					GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION		GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS										GOBP_INTRACELLULAR_SIGNALING_CASSETTE										GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY				GOBP_RESPONSE_TO_NITROGEN_COMPOUND			GOMF_PEPTIDE_RECEPTOR_ACTIVITY																								GOCC_SECRETORY_VESICLE																						GOBP_RESPONSE_TO_LIPID
11658	Alcam	activated leukocyte cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1313266]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_AXON		GOCC_CELL_BODY										GOCC_DENDRITIC_TREE		GOBP_GENERATION_OF_NEURONS																																						GOCC_CELL_SURFACE																GOBP_NEURON_DEVELOPMENT								GOBP_CELL_ADHESION												GOBP_GROWTH					
216343	Tph2	tryptophan hydroxylase 2 [Source:MGI Symbol;Acc:MGI:2651811]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_AXON		GOCC_CELL_BODY																																																																																											
74762	Mdga1	MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:MGI Symbol;Acc:MGI:1922012]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_AXON												GOCC_DENDRITIC_TREE		GOBP_GENERATION_OF_NEURONS		GOCC_SYNAPTIC_MEMBRANE	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS					GOCC_PLASMA_MEMBRANE_REGION					GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT								GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_CELL_MIGRATION			GOCC_POSTSYNAPTIC_MEMBRANE		GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_CELL_MOTILITY								GOBP_HEAD_DEVELOPMENT		GOCC_CELL_SURFACE											GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS				GOCC_POSTSYNAPSE									GOBP_CELL_ADHESION																GOCC_GABA_ERGIC_SYNAPSE	
240058	Cpne5	copine V [Source:MGI Symbol;Acc:MGI:2385908]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT				GOCC_CELL_BODY							GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS					GOBP_GENERATION_OF_NEURONS																																																						GOBP_NEURON_DEVELOPMENT																				GOBP_GROWTH					
15186	Hdc	histidine decarboxylase [Source:MGI Symbol;Acc:MGI:96062]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT				GOCC_CELL_BODY										GOCC_DENDRITIC_TREE																																																																																	
11898	Ass1	argininosuccinate synthetase 1 [Source:MGI Symbol;Acc:MGI:88090]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT				GOCC_CELL_BODY																GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS																										GOBP_RESPONSE_TO_NITROGEN_COMPOUND		GOBP_TUBE_DEVELOPMENT																														GOBP_CELL_ADHESION							GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS										GOBP_RESPONSE_TO_LIPID
320415	Gchfr	GTP cyclohydrolase I feedback regulator [Source:MGI Symbol;Acc:MGI:2443977]		GOCC_NEURON_PROJECTION			GOCC_SOMATODENDRITIC_COMPARTMENT														GOCC_DENDRITIC_TREE																																																																																	
16177	Il1r1	interleukin 1 receptor, type I [Source:MGI Symbol;Acc:MGI:96545]		GOCC_NEURON_PROJECTION				GOCC_EXTRACELLULAR_SPACE	GOCC_AXON	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS				GOMF_SIGNALING_RECEPTOR_BINDING									GOBP_GENERATION_OF_NEURONS	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION													GOBP_INTRACELLULAR_SIGNALING_CASSETTE								GOBP_CELL_MIGRATION		GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION				GOBP_CELL_MOTILITY										GOCC_CELL_SURFACE			GOBP_RESPONSE_TO_ABIOTIC_STIMULUS						GOBP_LOCOMOTION													GOBP_REGULATION_OF_LOCOMOTION																			
17926	Myoc	myocilin [Source:MGI Symbol;Acc:MGI:1202864]		GOCC_NEURON_PROJECTION				GOCC_EXTRACELLULAR_SPACE	GOCC_AXON					GOMF_SIGNALING_RECEPTOR_BINDING									GOBP_GENERATION_OF_NEURONS	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION					GOBP_REGULATION_OF_MEMBRANE_POTENTIAL								GOBP_INTRACELLULAR_SIGNALING_CASSETTE				GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING				GOBP_CELL_MIGRATION		GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION			GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_CELL_MOTILITY							GOBP_MUSCLE_SYSTEM_PROCESS								GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION				GOBP_LOCOMOTION							GOBP_NEURON_DEVELOPMENT						GOBP_REGULATION_OF_LOCOMOTION		GOBP_CELL_ADHESION		GOBP_SKELETAL_SYSTEM_DEVELOPMENT															
12554	Cdh13	cadherin 13 [Source:MGI Symbol;Acc:MGI:99551]		GOCC_NEURON_PROJECTION				GOCC_EXTRACELLULAR_SPACE				GOBP_REGULATION_OF_TRANSPORT			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION									GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION			GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS				GOCC_PLASMA_MEMBRANE_REGION		GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT				GOBP_INTRACELLULAR_SIGNALING_CASSETTE								GOBP_CELL_MIGRATION		GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION				GOBP_CELL_MOTILITY		GOBP_RESPONSE_TO_NITROGEN_COMPOUND		GOBP_TUBE_DEVELOPMENT						GOCC_CELL_SURFACE									GOBP_LOCOMOTION			GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION						GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS				GOBP_REGULATION_OF_LOCOMOTION		GOBP_CELL_ADHESION													GOBP_TUBE_MORPHOGENESIS			GOCC_GABA_ERGIC_SYNAPSE	
13003	Vcan	versican [Source:MGI Symbol;Acc:MGI:102889]		GOCC_NEURON_PROJECTION				GOCC_EXTRACELLULAR_SPACE																									GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT			GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT									GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY				GOBP_TUBE_DEVELOPMENT						GOCC_CELL_SURFACE													GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE											GOBP_CELL_ADHESION		GOBP_SKELETAL_SYSTEM_DEVELOPMENT															
65086	Lpar3	lysophosphatidic acid receptor 3 [Source:MGI Symbol;Acc:MGI:1929469]		GOCC_NEURON_PROJECTION					GOCC_AXON	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT						GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_MONOATOMIC_ION_TRANSPORT			GOBP_GENERATION_OF_NEURONS	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION													GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION					GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY					GOBP_MONOATOMIC_CATION_TRANSPORT						GOBP_METAL_ION_TRANSPORT									GOBP_POSITIVE_REGULATION_OF_TRANSPORT								GOBP_NEURON_DEVELOPMENT																		GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT		GOBP_GROWTH		GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
